id,symptoms,vaidya_name,panchakarma,username,password,vaidya_description
1101,"arthritis, gastric problem",Vaidya Seema Verma,Basti,vaidya.seema.verma,b7Vs5CIq,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
1102,gout,Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,kZyuJ0TI,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1103,"joint pain, constipation",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,Bt6AGK53,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
1104,"ulcer, blood impure",Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,EuDTjhOq,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1105,"arthritis, indigestion",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,VT47a9I2,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1106,"gout, ulcer",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,5upFGbEL,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
1107,back pain,Vaidya Gopal Menon,Basti,vaidya.gopal.menon,gbOSms6q,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
1108,"arthritis, joint pain",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,hSQjdFVo,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
1109,"allergy, sinus, cold",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,qMrTytE2,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
1110,blood impure,Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,QFdK0goO,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1111,"liver problem, allergy, psoriasis",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,991VQjHo,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
1112,indigestion,Vaidya Seema Verma,Basti,vaidya.seema.verma,Td6qy78q,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
1113,acidity,Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,3OXiSgNZ,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1114,"ulcer, gout",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,C6tL0fnD,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1115,"ulcer, gout, inflammation",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,W09i7Hy7,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
1116,"kapha disorder, asthma, bronchitis",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,jH36qbf5,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1117,psoriasis,Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,sHfjcrnt,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1118,"bronchitis, kapha disorder",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,9Qge3ZBX,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1119,stuffy nose,Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,Ilv5FJY3,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1120,constipation,Vaidya Seema Verma,Basti,vaidya.seema.verma,TodLr0zJ,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
1121,"joint pain, constipation, back pain",Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,jE4rpS2K,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
1122,allergy,Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,2p3MSUKV,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1123,"constipation, indigestion, joint pain",Vaidya Seema Verma,Basti,vaidya.seema.verma,tfhq540t,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
1124,blood impure,Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,WtlNCkV6,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
1125,"kapha disorder, cough, bronchitis",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,Xk7tULmU,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
1126,"back pain, indigestion, constipation",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,32eJcQ0M,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
1127,"asthma, cough",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,B0P89PlM,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1128,indigestion,Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,tjoJ7rFM,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
1129,"sinus, stuffy nose",Vaidya Priya Nair,Nasya,vaidya.priya.nair,aqN5jeKt,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1130,"gout, blood impure",Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,e0AuQfkA,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1131,kapha disorder,Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,0SgaJDJC,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1132,"respiratory issue, kapha disorder",Vaidya Vinod Jadhav,Vamana,vaidya.vinod.jadhav,Awy3eQQ1,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1133,stuffy nose,Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,pnVoc6yi,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
1134,"allergy, psoriasis",Vaidya Seema Verma,Virechana,vaidya.seema.verma,AG02noZf,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
1135,"back pain, constipation, arthritis",Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,XEVH9xF9,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1136,liver problem,Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,B5AYNSGO,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1137,"joint pain, constipation, gastric problem",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,w6G68xNv,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
1138,"eczema, liver problem, psoriasis",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,jGo18i7r,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1139,"cold, nose block, headache",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,bu807zw5,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
1140,"gout, ulcer",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,yBCH0YOO,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
1141,sinus,Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,wDlLYVho,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
1142,"acne, ulcer",Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,qRWGvS2S,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1143,"allergy, sinus",Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,GrtvhSnF,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1144,asthma,Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,zhIaRNGG,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1145,"asthma, cough",Vaidya Lata More,Vamana,vaidya.lata.more,77xHf8Wm,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1146,"constipation, back pain, joint pain",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,P8R712tt,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1147,"acidity, allergy",Vaidya Seema Verma,Virechana,vaidya.seema.verma,IzGj2mrw,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
1148,"indigestion, back pain",Vaidya Seema Verma,Basti,vaidya.seema.verma,16bSZUG2,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
1149,stuffy nose,Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,QWhSlxJe,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
1150,ulcer,Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,ahdd6igC,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
1151,kapha disorder,Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,J0tNobre,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1152,"inflammation, acne, ulcer",Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,YXCIMDFW,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1153,"pimples, psoriasis, eczema",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,cG72xDsB,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1154,"respiratory issue, kapha disorder, obesity",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,mdrAcc0A,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1155,"indigestion, gastric problem, arthritis",Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,Nwglrkd2,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1156,acne,Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,uSGhDrQd,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1157,nose block,Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,W31dOMQo,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
1158,"stuffy nose, allergy",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,undGSa2M,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1159,cough,Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,phS7xFDk,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
1160,headache,Vaidya Kiran Joshi,Nasya,vaidya.kiran.joshi,OFQOqUKe,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1161,allergy,Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,4lnjGNC2,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
1162,acidity,Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,srLWV975,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1163,eczema,Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,49Pr0GuQ,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1164,"allergy, migraine",Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,vtfCOTA5,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1165,"psoriasis, skin rashes",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,lIDeSM1D,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1166,respiratory issue,Vaidya Lata More,Vamana,vaidya.lata.more,9WaAE02e,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1167,"blood impure, ulcer, skin boils",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,a5LsvISk,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1168,"joint pain, indigestion",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,LHyB7Ceq,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1169,"acne, blood impure",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,CvtJid3q,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
1170,"kapha disorder, bronchitis",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,uWAJLxEt,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1171,"gout, skin boils",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,6QixIgKj,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
1172,nose block,Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,MGDOxfvD,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1173,cough,Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,YHraRLQJ,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
1174,"kapha disorder, asthma, respiratory issue",Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,11XA4RgO,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1175,skin rashes,Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,4BgIylkx,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
1176,asthma,Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,YZCs9zCC,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
1177,"pimples, acidity, eczema",Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,yFFjrcvf,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1178,"back pain, constipation",Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,J8XLo803,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1179,"joint pain, constipation",Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,TRFThwV4,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
1180,"indigestion, gastric problem",Vaidya Gopal Menon,Basti,vaidya.gopal.menon,boXzDKFf,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1181,acidity,Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,slR98kmK,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
1182,"nose block, allergy",Vaidya Priya Nair,Nasya,vaidya.priya.nair,q6Bf0JzW,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1183,nose block,Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,BMxuk3id,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1184,liver problem,Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,kAtQ3FJW,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
1185,"psoriasis, skin rashes",Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,BlKT87GC,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1186,constipation,Vaidya Anjali Nair,Basti,vaidya.anjali.nair,zRZ4fEWf,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1187,"eczema, liver problem, psoriasis",Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,m6JgMMs4,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1188,"respiratory issue, cough, asthma",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,0K5e7ZQE,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1189,"ulcer, blood impure, skin boils",Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,7Qn29w4n,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1190,cold,Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,N26itYnb,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
1191,"kapha disorder, asthma",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,HkCz4BLy,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1192,skin rashes,Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,q5TUnLga,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1193,ulcer,Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,DeKqnzUk,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1194,migraine,Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,5Q3w0qvg,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
1195,indigestion,Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,jSe0GLz7,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1196,"cough, bronchitis",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,iVirSeWY,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
1197,"pimples, eczema, psoriasis",Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,OEKBE9Q2,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
1198,"blood impure, skin boils, inflammation",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,obz1uGwx,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
1199,"gastric problem, constipation, arthritis",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,PoSwjjBu,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1200,"headache, cold",Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,k3NIrYTx,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1201,"cold, migraine, sinus",Vaidya Priya Nair,Nasya,vaidya.priya.nair,GOxj6gIS,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
1202,"indigestion, constipation",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,yn5uLjeh,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
1203,"skin boils, inflammation",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,tL7hb9NU,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1204,"acidity, allergy",Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,UdBTHedw,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
1205,"sinus, headache",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,7S9oeaTS,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1206,"pimples, allergy, skin rashes",Vaidya Seema Verma,Virechana,vaidya.seema.verma,PKQe1Nwz,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
1207,"pimples, liver problem, psoriasis",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,wvvprbe0,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
1208,indigestion,Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,DC2Fjiw5,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
1209,inflammation,Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,idBWRoKt,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1210,"constipation, gastric problem, indigestion",Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,JdLd8Im6,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
1211,"liver problem, eczema",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,TQB90xKe,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
1212,"joint pain, gastric problem, indigestion",Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,Hn7Agv7b,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
1213,"skin rashes, pimples, liver problem",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,YjWrnpoC,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1214,"gastric problem, constipation",Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,f2MixRti,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1215,indigestion,Vaidya Seema Verma,Basti,vaidya.seema.verma,MTyQ6BjB,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1216,"psoriasis, eczema",Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,BfefwyQv,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
1217,cough,Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,jrcyseox,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1218,indigestion,Vaidya Rohit Patil,Basti,vaidya.rohit.patil,MtPi8yRD,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1219,"respiratory issue, kapha disorder, bronchitis",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,p7JjFfYg,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
1220,"respiratory issue, obesity, cough",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,krjgwg4j,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
1221,liver problem,Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,8DiCMmaR,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1222,"kapha disorder, cough, respiratory issue",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,NoQWgX5z,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
1223,gout,Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,40ZiEfEB,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1224,ulcer,Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,AweEZwOh,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1225,pimples,Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,OQaxVDhy,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
1226,"headache, allergy, sinus",Vaidya Priya Nair,Nasya,vaidya.priya.nair,vxxOsxn8,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
1227,"kapha disorder, bronchitis",Vaidya Lata More,Vamana,vaidya.lata.more,Xl4GofY9,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1228,"ulcer, skin boils, acne",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,gSQRRT6c,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
